Id;date;station;count
210;2022-05-09;18th St & Wyoming Ave NW;63
211;2022-04-30;18th St & Wyoming Ave NW;93
212;2022-04-27;18th St & Wyoming Ave NW;62
213;2022-03-25;18th St & Wyoming Ave NW;59
214;2022-03-17;18th St & Wyoming Ave NW;59
215;2022-02-17;18th St & Wyoming Ave NW;56
216;2022-10-21;18th St & Wyoming Ave NW;90
217;2022-04-08;18th St & Wyoming Ave NW;51
218;2022-04-29;18th St & Wyoming Ave NW;64
219;2022-10-29;18th St & Wyoming Ave NW;95
220;2022-03-24;18th St & Wyoming Ave NW;38
221;2022-10-09;18th St & Wyoming Ave NW;65
222;2022-10-28;18th St & Wyoming Ave NW;75
223;2022-02-12;18th St & Wyoming Ave NW;53
224;2022-05-07;18th St & Wyoming Ave NW;25
225;2022-02-18;18th St & Wyoming Ave NW;49
226;2022-03-15;18th St & Wyoming Ave NW;54
227;2022-02-22;18th St & Wyoming Ave NW;20
228;2022-03-23;18th St & Wyoming Ave NW;33
229;2022-04-07;18th St & Wyoming Ave NW;34
230;2022-11-28;18th St & Wyoming Ave NW;42
231;2022-03-08;18th St & Wyoming Ave NW;52
232;2022-04-03;18th St & Wyoming Ave NW;52
233;2022-11-09;18th St & Wyoming Ave NW;62
234;2022-10-03;18th St & Wyoming Ave NW;37
235;2022-04-05;18th St & Wyoming Ave NW;31
236;2022-10-18;18th St & Wyoming Ave NW;43
237;2022-11-25;18th St & Wyoming Ave NW;33
238;2022-04-11;18th St & Wyoming Ave NW;30
239;2022-10-30;18th St & Wyoming Ave NW;59
240;2022-10-04;18th St & Wyoming Ave NW;36
241;2022-03-02;18th St & Wyoming Ave NW;34
242;2022-04-09;18th St & Wyoming Ave NW;66
243;2022-03-26;18th St & Wyoming Ave NW;42
244;2022-11-13;18th St & Wyoming Ave NW;58
245;2022-03-03;18th St & Wyoming Ave NW;50
246;2022-04-20;18th St & Wyoming Ave NW;69
247;2022-10-20;18th St & Wyoming Ave NW;99
248;2022-05-08;18th St & Wyoming Ave NW;62
249;2022-11-30;18th St & Wyoming Ave NW;30
250;2022-11-26;18th St & Wyoming Ave NW;40
251;2022-02-04;18th St & Wyoming Ave NW;23
252;2022-11-27;18th St & Wyoming Ave NW;29
253;2022-03-11;18th St & Wyoming Ave NW;48
254;2022-02-11;18th St & Wyoming Ave NW;66
255;2022-02-10;18th St & Wyoming Ave NW;35
256;2022-04-28;18th St & Wyoming Ave NW;60
257;2022-04-04;18th St & Wyoming Ave NW;35
258;2022-10-19;18th St & Wyoming Ave NW;64
259;2022-04-02;18th St & Wyoming Ave NW;93
260;2022-04-10;18th St & Wyoming Ave NW;29
261;2022-11-23;18th St & Wyoming Ave NW;44
262;2022-04-19;18th St & Wyoming Ave NW;48
263;2022-11-29;18th St & Wyoming Ave NW;47
264;2022-04-18;18th St & Wyoming Ave NW;21
265;2022-03-05;18th St & Wyoming Ave NW;79
266;2022-03-30;18th St & Wyoming Ave NW;46
267;2022-11-24;18th St & Wyoming Ave NW;21
268;2022-02-28;18th St & Wyoming Ave NW;34
269;2022-02-21;18th St & Wyoming Ave NW;32
270;2022-02-03;18th St & Wyoming Ave NW;18
271;2022-03-14;18th St & Wyoming Ave NW;45
272;2022-11-16;18th St & Wyoming Ave NW;58
273;2022-03-10;18th St & Wyoming Ave NW;59
274;2022-11-14;18th St & Wyoming Ave NW;55
275;2022-03-09;18th St & Wyoming Ave NW;26
276;2022-02-27;18th St & Wyoming Ave NW;61
277;2022-11-22;18th St & Wyoming Ave NW;33
